Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-08-05,DIV-2025-08-05,MMW-,10001,"2025-08-05 Dividends - JEPI, MUST",both,USD,Cash - Fidelity Cash Management Account,Dividend - MUST,,2.86,,,published,
2025-08-05,DIV-2025-08-05,MMW-,10001,"2025-08-05 Dividends - JEPI, MUST",both,USD,Cash - Fidelity Cash Management Account,Dividend - JEPI,,8.49,,,published,
2025-08-05,DIV-2025-08-05,MMW-,10001,"2025-08-05 Dividends - JEPI, MUST",both,USD,Income - Ordinary Dividends,"Income - JEPI, MUST",,,11.35,,published,
2025-08-06,DIV-2025-08-06,MMW-,10002,2025-08-06 Dividends - FERG,both,USD,Cash - Fidelity Cash Management Account,Dividend - FERG,,1.22,,,published,
2025-08-06,DIV-2025-08-06,MMW-,10002,2025-08-06 Dividends - FERG,both,USD,Income - Ordinary Dividends,Income - FERG,,,1.22,,published,
2025-08-07,DIV-2025-08-07,MMW-,10003,2025-08-07 Dividends - TLTW,both,USD,Cash - Fidelity Cash Management Account,Dividend - TLTW,,5.87,,,published,
2025-08-07,DIV-2025-08-07,MMW-,10003,2025-08-07 Dividends - TLTW,both,USD,Income - Ordinary Dividends,Income - TLTW,,,5.87,,published,
2025-08-11,DIV-2025-08-11,MMW-,10004,2025-08-11 Dividends - BX,both,USD,Cash - Fidelity Cash Management Account,Dividend - BX,,14.85,,,published,
2025-08-11,DIV-2025-08-11,MMW-,10004,2025-08-11 Dividends - BX,both,USD,Income - Ordinary Dividends,Income - BX,,,14.85,,published,
2025-08-22,DIV-2025-08-22,MMW-,10005,"2025-08-22 Dividends - CWT, SPYI",both,USD,Cash - Fidelity Cash Management Account,Dividend - CWT,,1.96,,,published,
2025-08-22,DIV-2025-08-22,MMW-,10005,"2025-08-22 Dividends - CWT, SPYI",both,USD,Cash - Fidelity Cash Management Account,Dividend - SPYI,,80.47,,,published,
2025-08-22,DIV-2025-08-22,MMW-,10005,"2025-08-22 Dividends - CWT, SPYI",both,USD,Income - Ordinary Dividends,"Income - CWT, SPYI",,,82.43,,published,
2025-08-25,DIV-2025-08-25,MMW-,10006,"2025-08-25 Dividends - QYLD, RYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - QYLD,,32.79,,,published,
2025-08-25,DIV-2025-08-25,MMW-,10006,"2025-08-25 Dividends - QYLD, RYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - RYLD,,33.41,,,published,
2025-08-25,DIV-2025-08-25,MMW-,10006,"2025-08-25 Dividends - QYLD, RYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - XYLD,,18.50,,,published,
2025-08-25,DIV-2025-08-25,MMW-,10006,"2025-08-25 Dividends - QYLD, RYLD, XYLD",both,USD,Income - Ordinary Dividends,"Income - QYLD, RYLD, XYLD",,,84.70,,published,
2025-08-26,DIV-2025-08-26,MMW-,10007,2025-08-26 Dividends - KKR,both,USD,Cash - Fidelity Cash Management Account,Dividend - KKR,,1.51,,,published,
2025-08-26,DIV-2025-08-26,MMW-,10007,2025-08-26 Dividends - KKR,both,USD,Income - Ordinary Dividends,Income - KKR,,,1.51,,published,
2025-08-29,DIV-2025-08-29,MMW-,10008,"2025-08-29 Dividends - APO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - APO,,2.99,,,published,
2025-08-29,DIV-2025-08-29,MMW-,10008,"2025-08-29 Dividends - APO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - FDRXX,,33.17,,,published,
2025-08-29,DIV-2025-08-29,MMW-,10008,"2025-08-29 Dividends - APO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - SPAXX,,0.11,,,published,
2025-08-29,DIV-2025-08-29,MMW-,10008,"2025-08-29 Dividends - APO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - LAND,,2.60,,,published,
2025-08-29,DIV-2025-08-29,MMW-,10008,"2025-08-29 Dividends - APO, FDRXX, GWRS, LAND, SPAXX",both,USD,Cash - Fidelity Cash Management Account,Dividend - GWRS,,0.19,,,published,
2025-08-29,DIV-2025-08-29,MMW-,10008,"2025-08-29 Dividends - APO, FDRXX, GWRS, LAND, SPAXX",both,USD,Income - Ordinary Dividends,"Income - APO, FDRXX, GWRS, LAND, SPAXX",,,39.06,,published,
