Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-12-01,DIV-2025-12-01,MMW-,10001,2025-12-01 Dividends - TPG,both,USD,Cash - Fidelity Cash Management Account,Dividend - TPG,,5.35,,,published,
2025-12-01,DIV-2025-12-01,MMW-,10001,2025-12-01 Dividends - TPG,both,USD,Income - Ordinary Dividends,Income - TPG,,,5.35,,published,
2025-12-02,DIV-2025-12-02,MMW-,10002,"2025-12-02 Dividends - AWK, KKR, QYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - AWK,,3.51,,,published,
2025-12-02,DIV-2025-12-02,MMW-,10002,"2025-12-02 Dividends - AWK, KKR, QYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - QYLD,,38.82,,,published,
2025-12-02,DIV-2025-12-02,MMW-,10002,"2025-12-02 Dividends - AWK, KKR, QYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - XYLD,,38.89,,,published,
2025-12-02,DIV-2025-12-02,MMW-,10002,"2025-12-02 Dividends - AWK, KKR, QYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - KKR,,1.51,,,published,
2025-12-02,DIV-2025-12-02,MMW-,10002,"2025-12-02 Dividends - AWK, KKR, QYLD, XYLD",both,USD,Income - Ordinary Dividends,"Income - AWK, KKR, QYLD, XYLD",,,82.73,,published,
2025-12-03,DIV-2025-12-03,MMW-,10003,2025-12-03 Dividends - JEPI,both,USD,Cash - Fidelity Cash Management Account,Dividend - JEPI,,13.75,,,published,
2025-12-03,DIV-2025-12-03,MMW-,10003,2025-12-03 Dividends - JEPI,both,USD,Income - Ordinary Dividends,Income - JEPI,,,13.75,,published,
2025-12-05,DIV-2025-12-05,MMW-,10004,2025-12-05 Dividends - TLTW,both,USD,Cash - Fidelity Cash Management Account,Dividend - TLTW,,6.82,,,published,
2025-12-05,DIV-2025-12-05,MMW-,10004,2025-12-05 Dividends - TLTW,both,USD,Income - Ordinary Dividends,Income - TLTW,,,6.82,,published,
2025-12-09,DIV-2025-12-09,MMW-,10005,2025-12-09 Dividends - L,both,USD,Cash - Fidelity Cash Management Account,Dividend - L,,0.40,,,published,
2025-12-09,DIV-2025-12-09,MMW-,10005,2025-12-09 Dividends - L,both,USD,Income - Ordinary Dividends,Income - L,,,0.40,,published,
2025-12-19,DIV-2025-12-19,MMW-,10006,2025-12-19 Dividends - VEGI,both,USD,Cash - Fidelity Cash Management Account,Dividend - VEGI,,5.31,,,published,
2025-12-19,DIV-2025-12-19,MMW-,10006,2025-12-19 Dividends - VEGI,both,USD,Income - Ordinary Dividends,Income - VEGI,,,5.31,,published,
2025-12-23,DIV-2025-12-23,MMW-,10007,"2025-12-23 Dividends - FDEM, FDEV, FELC, FESM, FMDE, ONEQ, XYL",both,USD,Cash - Fidelity Cash Management Account,Dividend - FDEM,,29.81,,,published,
2025-12-23,DIV-2025-12-23,MMW-,10007,"2025-12-23 Dividends - FDEM, FDEV, FELC, FESM, FMDE, ONEQ, XYL",both,USD,Cash - Fidelity Cash Management Account,Dividend - FESM,,2.67,,,published,
2025-12-23,DIV-2025-12-23,MMW-,10007,"2025-12-23 Dividends - FDEM, FDEV, FELC, FESM, FMDE, ONEQ, XYL",both,USD,Cash - Fidelity Cash Management Account,Dividend - FMDE,,5.91,,,published,
2025-12-23,DIV-2025-12-23,MMW-,10007,"2025-12-23 Dividends - FDEM, FDEV, FELC, FESM, FMDE, ONEQ, XYL",both,USD,Cash - Fidelity Cash Management Account,Dividend - FELC,,45.81,,,published,
2025-12-23,DIV-2025-12-23,MMW-,10007,"2025-12-23 Dividends - FDEM, FDEV, FELC, FESM, FMDE, ONEQ, XYL",both,USD,Cash - Fidelity Cash Management Account,Dividend - FDEV,,37.10,,,published,
2025-12-23,DIV-2025-12-23,MMW-,10007,"2025-12-23 Dividends - FDEM, FDEV, FELC, FESM, FMDE, ONEQ, XYL",both,USD,Cash - Fidelity Cash Management Account,Dividend - ONEQ,,12.95,,,published,
2025-12-23,DIV-2025-12-23,MMW-,10007,"2025-12-23 Dividends - FDEM, FDEV, FELC, FESM, FMDE, ONEQ, XYL",both,USD,Cash - Fidelity Cash Management Account,Dividend - XYL,,1.34,,,published,
2025-12-23,DIV-2025-12-23,MMW-,10007,"2025-12-23 Dividends - FDEM, FDEV, FELC, FESM, FMDE, ONEQ, XYL",both,USD,Income - Ordinary Dividends,"Income - FDEM, FDEV, FELC, FESM, FMDE, ONEQ, XYL",,,135.59,,published,
2025-12-26,DIV-2025-12-26,MMW-,10008,2025-12-26 Dividends - SPYI,both,USD,Cash - Fidelity Cash Management Account,Dividend - SPYI,,107.81,,,published,
2025-12-26,DIV-2025-12-26,MMW-,10008,2025-12-26 Dividends - SPYI,both,USD,Income - Ordinary Dividends,Income - SPYI,,,107.81,,published,
2025-12-29,DIV-2025-12-29,MMW-,10009,2025-12-29 Dividends - TLTW,both,USD,Cash - Fidelity Cash Management Account,Dividend - TLTW,,6.80,,,published,
2025-12-29,DIV-2025-12-29,MMW-,10009,2025-12-29 Dividends - TLTW,both,USD,Income - Ordinary Dividends,Income - TLTW,,,6.80,,published,
2025-12-30,DIV-2025-12-30,MMW-,10010,"2025-12-30 Dividends - GWRS, QYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - GWRS,,0.19,,,published,
2025-12-30,DIV-2025-12-30,MMW-,10010,"2025-12-30 Dividends - GWRS, QYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - QYLD,,39.97,,,published,
2025-12-30,DIV-2025-12-30,MMW-,10010,"2025-12-30 Dividends - GWRS, QYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - XYLD,,31.59,,,published,
2025-12-30,DIV-2025-12-30,MMW-,10010,"2025-12-30 Dividends - GWRS, QYLD, XYLD",both,USD,Income - Ordinary Dividends,"Income - GWRS, QYLD, XYLD",,,71.75,,published,
2025-12-31,DIV-2025-12-31,MMW-,10011,"2025-12-31 Dividends - FDRXX, FZFXX, LAND",both,USD,Cash - Fidelity Cash Management Account,Dividend - FDRXX,,62.11,,,published,
2025-12-31,DIV-2025-12-31,MMW-,10011,"2025-12-31 Dividends - FDRXX, FZFXX, LAND",both,USD,Cash - Fidelity Cash Management Account,Dividend - FZFXX,,0.08,,,published,
2025-12-31,DIV-2025-12-31,MMW-,10011,"2025-12-31 Dividends - FDRXX, FZFXX, LAND",both,USD,Cash - Fidelity Cash Management Account,Dividend - LAND,,2.60,,,published,
2025-12-31,DIV-2025-12-31,MMW-,10011,"2025-12-31 Dividends - FDRXX, FZFXX, LAND",both,USD,Income - Ordinary Dividends,"Income - FDRXX, FZFXX, LAND",,,64.79,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Emerging Markets Multifactor ETF (FDEM),Purchase - FDEM - 0.390 @ ~ $30.70,,11.97,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Emerging Markets Multifactor ETF (FDEM),Purchase - FDEM - 65.000 @ ~ $30.76,,1999.40,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Enhanced Small Cap ETF (FESM),Purchase - FESM - 0.244 @ ~ $38.47,,9.39,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Enhanced Small Cap ETF (FESM),Purchase - FESM - 15.000 @ ~ $38.48,,577.20,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Momentum Factor ETF (FMDE),Purchase - FMDE - 0.933 @ ~ $36.53,,34.08,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Momentum Factor ETF (FMDE),Purchase - FMDE - 27.000 @ ~ $36.53,,986.31,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Enhanced Large Cap Core ETF (FELC),Purchase - FELC - 0.639 @ ~ $38.23,,24.43,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Enhanced Large Cap Core ETF (FELC),Purchase - FELC - 262.000 @ ~ $38.23,,10014.95,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Developed Markets Multifactor ETF (FDEV),Purchase - FDEV - 0.176 @ ~ $34.12,,6.01,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Developed Markets Multifactor ETF (FDEV),Purchase - FDEV - 70.000 @ ~ $34.11,,2387.77,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Nasdaq Composite Index ETF (ONEQ),Purchase - ONEQ - 0.705 @ ~ $92.48,,65.20,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Fidelity Nasdaq Composite Index ETF (ONEQ),Purchase - ONEQ - 42.000 @ ~ $92.46,,3883.19,,,published,
2025-12-05,PUR-2025-12-05-10007,MMW-,20001,"2025-12-05 Purchase - FDEM, FDEV, FELC, FESM, FMDE, ONEQ",both,USD,Cash - Fidelity Cash Management Account,"Cash for FDEM, FDEV, FELC, FESM, FMDE, ONEQ",,,19999.90,,published,
2025-12-31,UNR-2025-12-31-10001,MMW-,40001,2025-12-31 Mark-to-Market - Water Investments,both,USD,Unrealized Gain - Equity Baskets - Water Investments,Unrealized Loss - Water Investments,,100.87,,,published,
2025-12-31,UNR-2025-12-31-10001,MMW-,40001,2025-12-31 Mark-to-Market - Water Investments,both,USD,Trading Securities - Water Basket - FMV Adjustment,FMV Adjustment - Water Investments,,,100.87,,published,
2025-12-31,UNR-2025-12-31-10003,MMW-,40002,2025-12-31 Mark-to-Market - Buy Write ETFs,both,USD,Unrealized Gain - Equity Baskets - Buy Write ETFs,Unrealized Loss - Buy Write ETFs,,8.13,,,published,
